type,latitude,longitude,color,scale,name
W,-25.458277600,-49.353664300,#0288d1,1,Mandíbula
W,-25.348432900,-49.266202100,#0288d1,1,Tigre
W,-25.618068000,-49.195019000,#0288d1,1,Matilha
W,-25.335999300,-48.909446000,#0288d1,1,Cão Negro
W,-25.347661400,-48.954672000,#0288d1,1,Canário
W,-25.173863889,-48.419983333,#0288d1,1,Nébula
W,-25.515044400,-49.140050000,#0288d1,1,Solidão
W,-25.522362000,-49.169897000,#0288d1,1,Audax
W,-25.571590000,-49.099450000,#0288d1,1,Trator
W,-25.488049000,-49.142911000,#0288d1,1,Cão Branco
