type,latitude,longitude,color,scale,name
W,-41.882374000,-71.484929000,#0288d1,1,La Aldea
W,-41.954528000,-71.536447000,#0288d1,1,Mercadito Pilmaiquén
W,-41.954646000,-71.539334000,#0288d1,1,Saladita
W,-41.925146000,-71.558969000,#0288d1,1,Hue Nain
W,-41.929886000,-71.542454000,#0288d1,1,Escondida
W,-41.941973000,-71.559539000,#0288d1,1,Ña Rosa
W,-41.948501000,-71.563676000,#0288d1,1,Alerces
W,-41.983357000,-71.571625000,#0288d1,1,Azul
W,-42.030801000,-71.593606000,#0288d1,1,Puelo
W,-42.098260000,-71.682589000,#0288d1,1,Gendarmeria
