type,latitude,longitude,color,scale,name
W,-25.429.778.300,-49.251.248.000,#0288d1,1,Agressão (Leste)
W,-25.419.589.400,-49.252.197.900,#0288d1,1,Ferida Menor
W,-25.403.355.300,-49.242.896.900,#0288d1,1,Ferida Maior
W,-25.395.522.600,-49.239.653.200,#0288d1,1,Ferida (Norte)
W,-25.415.559.800,-49.263.495.500,#0288d1,1,Agressão (NO)
W,-25.424.279.200,-49.259.139.300,#0288d1,1,Cutelo
W,-25.423.667.900,-49.268.161.700,#0288d1,1,Agressão (Oeste)
W,-25.429.759.300,-49.271.063.900,#0288d1,1,Agressão (SO)
W,-25.428.780.700,-49.269.508.200,#0288d1,1,Agressão (Central 1)
W,-25.428.597.500,-49.268.168.600,#0288d1,1,Agressão (Central 2)
W,-25.429.640.100,-49.265.174.600,#0288d1,1,Agressão (Central Sul)
W,-25.441.322.600,-49.257.390.200,#0288d1,1,Hades
W,-25.435.567.500,-49.257.653.100,#0288d1,1,Caribdis
W,-25.435.720.600,-49.259.011.700,#0288d1,1,Dardo
W,-25.434.530.800,-49.258.763.500,#0288d1,1,Agressão (Sul)
