type,latitude,longitude,color,scale,name
W,-25.415.466.100,-49.301.597.600,#0288d1,1,Jó-quem-pô
W,-25.425.925.600,-49.307.928.000,#0288d1,1,Pipa
W,-25.422.545.800,-49.319.045.700,#0288d1,1,Brian
W,-25.416.036.600,-49.328.151.700,#0288d1,1,Éter
W,-25.438.009.900,-49.271.196.500,#0288d1,1,Gênesis
W,-25.422.417.500,-49.281.894.500,#0288d1,1,ZDM
W,-25.419.344.500,-49.266.109.800,#0288d1,1,Anunciação
W,-25.437.021.700,-49.283.557.300,#0288d1,1,Sorriso
W,-25.411.704.300,-49.257.590.000,#0288d1,1,Atropelamento
W,-25.430.454.400,-49.250.864.200,#0288d1,1,Casa 3
W,-25.433.762.000,-49.251.456.100,#0288d1,1,Dédalo
W,-25.430.620.400,-49.242.863.200,#0288d1,1,Casa 2
W,-25.428.320.000,-49.240.589.700,#0288d1,1,Nações
W,-25.431.786.900,-49.249.379.300,#0288d1,1,Casa final
W,-25.423.390.500,-49.234.407.600,#0288d1,1,Árvores
W,-25.422.440.800,-49.246.946.100,#0288d1,1,Morrinho
W,-25.550.340.200,-49.039.578.600,#0288d1,1,Caronte
W,-25.456.669.100,-49.235.317.900,#0288d1,1,Morcego
W,-25.449.370.000,-49.228.440.000,#0288d1,1,Perseu
W,-25.475.860.000,-49.207.590.000,#0288d1,1,Hathor
W,-25.476.320.000,-49.206.300.000,#0288d1,1,Sekhmet
W,-25.535.478.400,-49.173.736.400,#0288d1,1,Mariposa
W,-25.461.008.333,-49.528.288.889,#0288d1,1,Alfa Virtus
W,-25.491.358.000,-49.532.126.400,#0288d1,1,Beta Virtus
